smiles,Active/Inactive
COCc1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,1.0
COc1cc(Br)ccc1Nc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,1.0
C=CCCCCCCCCC(=O)O,0.0
COc1ccccc1OCC(C)NC(=O)c1cc(=O)[nH]c2ccc(F)cc12,0.0
Cc1cc(F)ccc1CS(N)(=O)=O,0.0
C=C1CC[C@H]2[C@@](C)(CC[C@@H](O)[C@@]2(C)CO)[C@@H]1C/C=C1/C(=O)OC[C@@H]1O,0.0
C[C@@H]1O[C@@H](O[C@H]2[C@H](OC(=O)[C@]34CCC(C)(C)C[C@H]3C3=CCC5[C@@]6(C)C[C@H](O)[C@H](O[C@@H]7O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]7O)[C@@](C)(CO)C6[C@H](O)C[C@@]5(C)[C@]3(C)C[C@H]4O)O[C@@H](CO)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O[C@@H]1OC[C@@H](O)[C@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@H]1O,0.0
Cc1ccncc1N1CCC(c2cccc(Cl)c2)S1(=O)=O,0.0
C[C@H]1C[C@H]2C(=O)O[C@H](C)[C@H]2[C@@H](/C=C/c2ccc(-c3ccccc3C#N)cn2)[C@@H]1C,0.0
C=C1CC[C@@]2(OC1)O[C@H]1CC3[C@@H]4CC=C5C[C@@H](O)C[C@@H](O[C@@H]6OC[C@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)[C@]5(C)C4CC[C@]3(C)[C@H]1[C@@H]2C,0.0
Cc1nc2ccc(NC(=O)NCc3ccc4[nH]c(=O)[nH]c4c3)cc2o1,0.0
O=C(Cc1ccccc1)Nc1cncc2ccccc12,0.0
CC1CCC2C(C)(C)C(O)CCC2(C)C12Cc1c(O)cc3c(c1O2)CNC3=N,0.0
CC(C)c1ccc2c(c1)CCC1[C@]2(C)CCC[C@@]1(C)C(=O)O,0.0
N/C(=N\C(=O)c1nc(Cl)c(N)nc1N)NCc1ccccc1,0.0
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)c1cccc(CSC2CCOCC2)c1,0.0
CCCOc1cc(Cl)cc2c1OCCC2C(=O)Nc1cncc2ccccc12,1.0
CC12CC(c3ccoc3)OC(=O)C1CCC1(C)C2CCC(O)C1(C)O,0.0
COc1cc(/C=C/C(=O)O[C@@H]2C[C@](O)(C(=O)O)C[C@@H](O)[C@H]2O)ccc1O,0.0
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)N2CCCC2CO)Cc2ccc(Cl)cc21,1.0
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2cnn(C)c2C(F)F)c1,0.0
CC1COC2(CCN(c3nc(=O)c4cc(C(F)(F)F)cc([N+](=O)[O-])c4s3)CC2)O1,0.0
COCCOC(=O)N1CCN([S+](=O)([O-])c2cc(F)c(Oc3ccc(Cl)cc3)c(F)c2)C(C(=O)NO)C1,0.0
Oc1cccc(C2NC(=S)Nc3cccc(F)c32)c1,0.0
Oc1ccc2c3c1O[C@H]1[C@H](N(CCCl)CCCl)CC[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314,0.0
CC1C(=O)CC2C3C(O)CC(C(=O)O)C12CC3(C)C,0.0
Cc1ccncc1NC(=O)C[C@H](c1ccccc1)N1CCC(O)CC1,0.0
CCOc1ccc2c(c1)C(C)=CC(C)(C)N2,0.0
CCC[C@H]1C[C@H](C(=O)N[C@H]([C@H](C)Cl)[C@@H]2O[C@@H](SC)[C@@H](O)[C@@H](O)[C@H]2O)N(C)C1,0.0
CC(=O)OC(C)C[N+](C)(C)C,0.0
CO[C@@H]1COC[C@H]1n1cc(C(=O)N(c2ccc(C(C)(C)C)cc2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)nn1,0.0
CCOc1cc(N2CCC(O)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)CCC(=O)N2C,0.0
OCC1OC(Oc2cc(O)c3c(c2)OC(c2ccc(O)cc2)C(O)C3)C(O)C1O,0.0
C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OC4OC(CO)C(O)C(O)C4O)[C@@H]2CC[C@]1(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C3,0.0
CC1=CC(=O)C(=C(C)C)CC2C(C)(O)CCC12O,0.0
COc1cc2c(cc1N[S+](=O)([O-])c1ccc(Br)cc1C)n(C)c(=O)n2C,0.0
C/C=C(\C)C(=O)O[C@@H]1[C@@H](O)[C@H](O)[C@@H](COC(C)=O)O[C@@H]1O[C@]1(COC(=O)CC(C)C)O[C@H](COC(=O)C(C)C)[C@@H](OC(C)=O)[C@@H]1O,0.0
